Timestamp,Node,Raw_Data,RSSI,SNR,Batt_Pct,Current_mA
2026-04-07 23:08:58,node2,"NODE2,9511,756,0N",-58,11.25,91,0.0
2026-04-07 23:09:24,node2,"NODE2,9513,755,0NODE,8179,755,00",-55,11.75,91,0.0
2026-04-07 23:09:49,node2,"NODE2,9515,756,0NODE,8179,755,00",-56,11.75,91,0.0
2026-04-07 23:10:15,node2,"NODE2,9517,756,0N",-57,11.5,91,0.0
2026-04-07 23:10:42,node2,"NODE2,9519,756,0NODE,8179,755,00",-56,11.25,91,0.0
2026-04-07 23:11:07,node2,"NODE2,9521,756,0NODE,8179,755,00",-55,11.0,91,0.0
2026-04-07 23:11:31,node2,"NODE2,9523,755,0NODE,8179,755,00",-55,11.75,91,0.0
2026-04-07 23:11:57,node2,"NODE2,9525,756,0N",-58,10.75,91,0.0
2026-04-07 23:12:24,node2,"NODE2,9527,755,0N",-57,10.75,91,0.0
2026-04-07 23:12:49,node2,"NODE2,9529,756,0NODE,8179,755,00",-55,11.5,91,0.0
2026-04-07 23:13:12,node2,"NODE2,9531,756,0NODE,8179,755,00",-56,11.5,91,0.0
2026-04-07 23:13:37,node2,"NODE2,9533,756,0NODE,8179,755,00",-56,11.25,91,0.0
2026-04-07 23:14:02,node2,"NODE2,9535,756,0N",-57,10.75,91,0.0
2026-04-07 23:14:27,node2,"NODE2,9537,756,0NODE,8179,755,00",-55,11.75,91,0.0
2026-04-07 23:14:50,node2,"NODE2,9539,755,0NODE,8179,755,00",-55,11.0,91,0.0
2026-04-07 23:15:16,node2,"NODE2,9541,755,0NODE,8179,755,00",-55,11.75,91,0.0
2026-04-07 23:15:39,node2,"NODE2,9543,755,0NODE,8179,755,00",-55,11.75,91,0.0
2026-04-07 23:15:53,node2,"NODE2,9543,755,0",-58,11.5,91,0.0
2026-04-07 23:16:18,node2,"NODE2,9546,756,0NODE2,9544,756,0",-54,11.0,91,0.0
2026-04-07 23:16:45,node2,"NODE2,9548,756,0NODE2,9544,756,0",-55,11.25,91,0.0
2026-04-07 23:17:12,node2,"NODE2,9550,755,0N",-58,10.5,91,0.0
2026-04-07 23:17:36,node2,"NODE2,9552,756,0NODE2,9544,756,0",-55,11.25,91,0.0
2026-04-07 23:18:00,node2,"NODE2,9554,756,0NODE2,9544,756,0",-55,11.75,91,0.0
2026-04-07 23:18:27,node2,"NODE2,9556,756,0NODE2,9544,756,0",-55,11.5,91,0.0
2026-04-07 23:18:50,node2,"NODE2,9558,756,0NODE2,9544,756,0",-55,11.5,91,0.0
2026-04-07 23:19:04,node2,"NODE2,9558,756,0",-57,11.5,91,0.0
2026-04-07 23:19:28,node2,"NODE2,9561,756,0NOD",-56,10.75,91,0.0
2026-04-07 23:19:56,node2,"NODE2,9563,756,0NODE,9559,756,00",-55,11.25,91,0.0
2026-04-07 23:20:20,node2,"NODE2,9565,756,0NODE,9559,756,00",-51,12.25,91,0.0
2026-04-07 23:20:43,node2,"NODE2,9567,754,0NODE,9559,756,00",-55,11.75,91,0.0
2026-04-07 23:21:07,node2,"NODE2,9569,754,0NODE,9559,756,00",-57,11.0,91,0.0
2026-04-07 23:21:31,node2,"NODE2,9571,754,0NODE,9559,756,00",-56,11.25,91,0.0
2026-04-07 23:21:56,node2,"NODE2,9573,754,0N",-59,11.5,91,0.0
2026-04-07 23:22:20,node2,"NODE2,9575,753,0NODE,9559,756,00",-56,11.0,91,0.0
