timestamp,node_id,counter,soil_pct,rssi,missing_packets,payload_bytes,decision_latency_ms,jitter_ms,cpu_percent,ram_percent
1772372790.3028543,node1,7,90,-56,0,47,138.6998,138.6998,0.0,4.0
1772372793.3474386,node2,10575,89,-53,0,51,139.725,139.725,0.0,3.9
1772372801.0378988,node1,8,91,-56,0,47,139.5614,0.8616,0.1,3.9
1772372805.2160926,node2,10576,89,-58,0,51,139.6751,0.0498,0.0,3.8
1772373296.1735275,node1,9,91,-58,0,47,139.4057,0.1557,0.1,3.9
1772373302.7260275,node2,10577,89,-48,0,51,140.224,0.5488,0.1,3.9
1772373305.5312607,node1,10,91,-57,0,48,141.9456,2.5399,0.1,3.9
1772373314.5050368,node2,10578,89,-49,0,51,139.5631,0.6609,-0.0,3.7
1772373315.3205311,node1,11,90,-55,0,48,139.436,2.5096,0.0,3.7
1772373324.1353142,node1,12,91,-56,0,48,139.5996,0.1636,0.1,3.8
1772373325.7458627,node2,10579,89,-48,0,51,137.8088,1.7543,0.0,3.8
1772373333.6106145,node1,13,90,-56,0,47,139.3738,0.2258,0.0,3.7
1772373337.336807,node2,10580,89,-48,0,51,139.7324,1.9236,0.1,3.7
1772373344.2788737,node1,14,91,-56,0,47,139.8005,0.4268,-0.0,3.7
1772373349.8400548,node2,10581,89,-48,0,51,139.6415,0.0908,0.0,3.7
1772373352.810747,node1,15,91,-57,0,47,139.7431,0.0575,0.0,3.7
1772373362.545414,node2,10582,89,-49,0,51,139.1993,0.4423,0.0,3.7
1772373363.3535957,node1,16,91,-57,0,48,138.572,1.1711,0.0,3.8
1772373372.0529385,node1,17,91,-60,0,48,146.9836,8.4116,0.1,3.8
1772373374.8752248,node2,10583,89,-48,0,51,139.5378,0.3386,0.0,3.8
1772373382.5012412,node1,18,91,-57,0,48,140.3406,6.6431,0.0,3.8
1772373387.3921323,node2,10584,89,-48,0,50,139.6072,0.0694,0.0,3.8
1772373391.3390303,node1,19,90,-57,0,48,140.2352,0.1054,0.0,3.7
1772373399.7470336,node2,10585,89,-48,0,51,138.9947,0.6125,0.0,3.7
1772373401.6355605,node1,20,90,-56,0,48,139.9248,0.3104,0.0,3.7
1772373411.3216336,node1,21,90,-55,0,48,139.5202,0.4046,0.0,3.7
1772373413.2990682,node2,10586,89,-48,0,51,139.6379,0.6433,0.0,3.7
1772373419.5444658,node1,22,91,-55,0,48,139.5445,0.0243,0.1,3.7
1772373424.59502,node2,10587,89,-48,0,51,140.018,0.38,0.0,3.7
1772373427.8207073,node1,23,91,-55,0,48,141.8583,2.3139,0.1,3.7
1772373437.1962767,node2,10588,89,-49,0,50,141.6414,1.6234,0.1,3.7
1772373438.4274127,node1,24,91,-55,0,48,141.9992,0.1409,0.0,3.7
1772373449.3346574,node1,25,91,-54,0,48,141.5448,0.4544,0.0,3.7
1772373450.7219808,node2,10589,89,-49,0,51,140.7478,0.8936,0.0,3.7
1772373459.19448,node1,26,91,-56,0,48,141.3515,0.1934,0.0,3.7
1772373464.4614842,node2,10590,89,-48,0,51,141.7565,1.0087,0.0,3.7
1772373468.7897346,node1,27,91,-55,0,48,141.67,0.3185,-0.0,3.7
1772373476.0297513,node2,10591,89,-49,0,51,142.1018,0.3452,0.0,3.7
1772373479.0985336,node1,28,90,-55,0,48,141.5763,0.0937,0.2,3.6
1772373487.5907528,node2,10592,89,-48,0,51,141.3617,0.7401,0.0,3.5
1772373488.2556992,node1,29,90,-55,0,48,142.962,1.3857,0.0,3.5
1772373497.8433223,node1,30,91,-54,0,48,142.0624,0.8996,0.0,3.5
1772373500.3646562,node2,10593,89,-49,0,51,141.7072,0.3455,0.0,3.5
1772373513.5241275,node2,10594,89,-49,0,51,141.7029,0.0043,0.0,3.5
1772373525.396951,node2,10595,89,-49,0,51,141.83,0.1271,0.1,3.7
1772373527.8491318,node1,33,91,-55,2,48,141.7775,0.2849,0.0,3.6
1772373537.531109,node1,34,91,-55,0,48,141.9783,0.2007,0.1,3.6
1772373539.1585562,node2,10596,89,-51,0,51,146.24,4.41,0.2,3.6
1772373546.8393123,node1,35,91,-55,0,48,142.1785,0.2003,0.0,3.5
1772373550.7428021,node2,10597,89,-49,0,51,141.6886,4.5514,0.1,3.5
1772373555.761529,node1,36,90,-55,0,48,141.6497,0.5288,0.0,3.5
1772373561.966646,node2,10598,89,-48,0,51,141.8676,0.1791,0.0,3.5
1772373565.5721576,node1,37,90,-55,0,48,141.952,0.3023,0.0,3.5
1772373573.9200163,node2,10599,89,-49,0,51,141.6724,0.1953,-0.0,3.5
1772373575.2672882,node1,38,90,-56,0,47,141.7665,0.1855,0.0,3.5
1772373594.4942873,node1,40,91,-55,1,48,139.7793,1.9872,0.0,3.5
1772373598.5082614,node2,10601,89,-48,1,51,157.5158,15.8434,0.1,3.5
1772373605.2198935,node1,41,91,-56,0,48,141.696,1.9166,0.0,3.5
1772373610.1674683,node2,10602,89,-49,0,51,142.2153,15.3005,0.0,3.5
1772373614.3786068,node1,42,91,-56,0,47,141.7491,0.0532,-0.0,3.5
1772373621.930867,node2,10603,89,-49,0,51,141.9499,0.2654,0.0,3.5
1772373624.3700006,node1,43,91,-57,0,48,141.8004,0.0513,0.0,3.5
1772373632.973335,node1,44,91,-55,0,48,141.9435,0.1431,0.0,3.5
1772373634.8673153,node2,10604,88,-50,0,50,141.8946,0.0553,0.1,3.5
1772373642.662674,node1,45,90,-55,0,48,141.8316,0.1118,0.0,3.6
1772373646.804696,node2,10605,89,-49,0,51,141.6616,0.2329,0.1,3.6
1772373651.7370317,node1,46,91,-57,0,48,140.7809,1.0507,0.1,3.6
1772373659.7093904,node2,10606,89,-48,0,51,141.6724,0.0107,-0.0,3.5
1772373662.1865122,node1,47,91,-56,0,48,141.8717,1.0908,0.1,3.5
1772373672.0233371,node1,48,91,-56,0,48,142.1647,0.293,0.0,3.5
1772373672.6156425,node2,10607,89,-49,0,51,142.364,0.6917,0.0,3.5
1772373680.4850502,node1,49,91,-59,0,48,140.8701,1.2946,0.0,3.5
1772373684.1607335,node2,10608,89,-49,0,51,141.7375,0.6266,0.0,3.5
1772373688.540627,node1,50,91,-55,0,47,141.84,0.9699,0.1,3.5
1772373697.9133558,node2,10609,89,-45,0,51,141.7637,0.0262,0.0,3.5
1772373699.1494951,node1,51,90,-57,0,48,142.8823,1.0424,0.0,3.5
1772373708.7354872,node1,52,90,-55,0,48,142.2534,0.6289,-0.0,3.5
1772373711.7083235,node2,10610,89,-52,0,51,141.6402,0.1235,0.0,3.5
1772373716.9082959,node1,53,91,-55,0,48,141.8097,0.4437,0.0,3.5
1772373723.4793978,node2,10611,89,-59,0,51,141.7408,0.1006,0.0,3.5
1772373726.7828937,node1,54,90,-60,0,48,141.8827,0.073,0.1,3.5
1772373736.670867,node1,55,91,-55,0,48,144.1808,2.2981,-0.0,3.5
1772373737.3660357,node2,10612,89,-57,0,51,141.9501,0.2093,0.0,3.5
1772373747.1778436,node1,56,91,-56,0,47,141.7041,2.4767,0.0,3.5
1772373748.9701889,node2,10613,89,-63,0,51,141.3376,0.6125,0.1,3.5
1772373755.6831303,node1,57,91,-56,0,48,141.6647,0.0393,0.0,3.5
1772373760.5416782,node2,10614,89,-59,0,51,140.9516,0.386,0.1,3.5
1772373763.8140213,node1,58,90,-56,0,48,141.9728,0.308,0.0,3.6
1772373772.3387845,node2,10615,89,-61,0,51,141.696,0.7443,0.0,3.5
1772373773.753022,node1,59,91,-56,0,47,140.8205,1.1523,0.0,3.6
1772373782.4181361,node1,60,90,-56,0,48,141.6392,0.8187,0.0,3.5
1772373785.2588632,node2,10616,89,-62,0,51,141.0043,0.6917,0.2,3.5
1772373792.8397672,node1,61,91,-56,0,47,142.2136,0.5744,0.0,3.6
1772373796.505336,node2,10617,89,-61,0,51,141.7091,0.7048,0.0,3.6
1772373803.485414,node1,62,91,-57,0,48,142.1142,0.0994,0.0,3.5
1772373810.097958,node2,10618,89,-60,0,51,141.7007,0.0083,0.0,3.5
1772373813.089035,node1,63,91,-57,0,48,141.4793,0.6349,0.0,3.5
1772373822.2103927,node1,64,91,-56,0,48,141.803,0.3238,0.0,3.5
1772373822.6010919,node2,10619,89,-60,0,51,141.4433,0.2575,0.0,3.5
1772373831.1119323,node1,65,90,-56,0,47,141.8836,0.0806,-0.0,3.5
1772373834.9979174,node2,10620,89,-58,0,51,141.6867,0.2434,0.0,3.5
1772373839.4302502,node1,66,91,-56,0,47,142.2055,0.3219,-0.0,3.5
1772373847.6584284,node1,67,91,-56,0,47,142.0288,0.1767,0.0,3.5
1772373848.5392897,node2,10621,89,-57,0,51,140.522,1.1647,0.0,3.5
1772373858.2513947,node1,68,90,-57,0,48,142.024,0.0048,0.0,3.5
1772373861.7240791,node2,10622,89,-59,0,50,141.8979,1.3759,0.0,3.5
1772373867.681273,node1,69,91,-56,0,48,142.1695,0.1454,0.0,3.5
1772373874.182031,node2,10623,89,-59,0,51,141.757,0.1409,0.0,3.5
1772373876.7812593,node1,70,91,-56,0,48,140.7099,1.4596,0.0,3.6
1772373884.9030828,node1,71,90,-57,0,47,141.6786,0.9687,0.0,3.6
1772373886.7993088,node2,10624,89,-57,0,51,141.5811,0.176,0.0,3.6
1772373893.9431272,node1,72,90,-56,0,47,141.7732,0.0947,-0.0,3.6
1772373900.397116,node2,10625,89,-57,0,51,141.8436,0.2625,0.0,3.7
1772373903.172558,node1,73,91,-56,0,48,141.629,0.1442,0.0,3.6
1772373911.7851684,node1,74,91,-56,0,48,140.9588,0.6702,0.1,3.6
1772373913.8134272,node2,10626,89,-61,0,51,141.6352,0.2084,0.0,3.6
1772373921.801158,node1,75,90,-56,0,48,140.7492,0.2096,-0.0,3.5
1772373927.6179883,node2,10627,89,-60,0,51,140.6169,1.0183,0.0,3.5
1772373932.2383463,node1,76,91,-57,0,48,141.7377,0.9885,0.0,3.5
1772373939.2629936,node2,10628,89,-59,0,51,141.783,1.1661,-0.0,3.5
1772373940.5367713,node1,77,91,-58,0,48,141.7811,0.0434,0.0,3.5
1772373950.0941198,node1,78,90,-56,0,48,141.5291,0.252,0.0,3.5
1772373951.5086224,node2,10629,89,-60,0,51,141.9306,0.1476,0.0,3.5
1772373961.0220165,node1,79,90,-57,0,48,141.7329,0.2038,0.0,3.5
