timestamp,node_id,counter,soil_pct,rssi,missing_packets,payload_bytes,decision_latency_ms,jitter_ms,cpu_percent,ram_percent
1772561662.9876688,node1,7,68,-54,0,47,131.1629,131.1629,0.0,4.1
1772561667.4455717,node2,6,79,-23,0,47,131.46,131.46,0.4,4.0
1772561673.7816527,node1,8,68,-54,0,47,131.4092,0.2463,0.1,3.9
1772561679.6728423,node2,7,79,-23,0,47,131.068,0.392,0.0,3.8
1772561682.6653142,node1,9,68,-54,0,47,131.7394,0.3302,0.0,3.7
1772561692.0273252,node2,8,79,-24,0,46,130.9981,0.0699,0.1,3.9
1772561693.1756852,node1,10,68,-54,0,48,131.3667,0.3726,0.0,3.8
1772561703.1749012,node2,9,79,-23,0,47,130.9347,0.0634,0.0,3.7
1772561703.3762517,node1,11,68,-54,0,48,132.1054,0.7386,1.2,3.7
1772561712.5882726,node1,12,68,-54,0,48,131.6686,0.4368,0.0,3.7
1772561715.6435447,node2,10,79,-24,0,47,131.073,0.1383,0.0,3.7
1772561722.113058,node1,13,69,-55,0,48,131.3593,0.3092,0.2,3.9
1772561726.9015152,node2,11,79,-24,0,48,131.3434,0.2704,0.0,3.8
1772561731.2681756,node1,14,69,-55,0,48,131.1531,0.2062,0.0,3.7
1772561738.7326806,node2,12,79,-24,0,47,130.7855,0.5579,0.0,3.7
1772561739.8038802,node1,15,68,-54,0,48,131.8254,0.6723,0.2,3.7
1772561747.8702455,node1,16,68,-54,0,48,131.3825,0.443,0.0,3.7
1772561752.688502,node2,13,79,-24,0,48,131.3353,0.5498,0.0,3.7
1772561756.7434616,node1,17,68,-54,0,48,131.2268,0.1557,0.1,3.7
1772561764.0017226,node2,14,79,-24,0,47,130.4526,0.8826,0.0,3.8
1772561765.881462,node1,18,69,-54,0,48,131.3829,0.1562,0.0,3.8
1772561774.2820818,node1,19,69,-55,0,48,131.3803,0.0026,0.0,3.7
1772561776.2069743,node2,15,79,-24,0,48,131.448,0.9954,0.1,3.7
1772561783.8109946,node1,20,68,-54,0,48,132.9184,1.538,0.0,3.7
1772561788.185589,node2,16,79,-24,0,48,131.5467,0.0987,0.1,3.7
1772561793.56217,node1,21,68,-54,0,48,132.7736,0.1447,0.0,3.7
1772561799.2506232,node2,17,79,-24,0,47,131.3524,0.1943,0.0,3.6
1772561803.6955814,node1,22,68,-55,0,48,131.2127,1.5609,0.0,3.6
1772561811.038577,node2,18,79,-24,0,48,131.2325,0.1199,0.0,3.6
1772561812.7610054,node1,23,69,-55,0,48,131.2575,0.0448,0.0,3.6
1772561821.431962,node1,24,68,-55,0,48,130.5528,0.7048,0.0,3.6
1772561822.0936892,node2,19,79,-24,0,47,131.2442,0.0117,0.0,4.3
1772561831.5794406,node1,25,68,-54,0,48,131.4573,0.9046,0.0,3.9
1772561835.652932,node2,20,79,-24,0,48,131.4046,0.1605,0.0,3.8
1772561841.571359,node1,26,68,-54,0,48,131.7258,0.2685,0.0,3.7
1772561846.7433167,node2,21,79,-24,0,47,131.2513,0.1533,0.0,3.7
1772561851.5445812,node1,27,68,-54,0,48,131.1927,0.5331,0.1,3.6
1772561860.422944,node2,22,79,-24,0,48,131.4962,0.2449,0.0,3.6
1772561860.7141886,node1,28,68,-54,0,48,131.629,0.4363,0.0,3.6
1772561869.13781,node1,29,68,-54,0,48,131.3882,0.2408,0.0,3.6
1772561871.6607559,node2,23,79,-24,0,48,130.8854,0.6108,0.1,3.6
1772561879.4767869,node1,30,68,-55,0,48,130.6877,0.7005,0.0,3.6
